first_name,last_name,position,phone,email,salary,branch_id
Courtney,Orr,Cashier,4084957318,courtney.orr392@company.com,59465,8
Tracy,Martinez,HR Executive,5233992867,tracy.martinez965@company.com,74359,8
Shelley,Clark,Sales Executive,3799492161,shelley.clark524@company.com,63842,8
Elizabeth,Barker,Accountant,4580935194,elizabeth.barker545@company.com,65332,8
Heather,Lara,HR Executive,1555598984,heather.lara844@company.com,88433,8
Joseph,Walker,HR Executive,2583049167,joseph.walker569@company.com,83192,8
Daniel,Morris,Sales Executive,1095742308,daniel.morris179@company.com,53976,8
Jason,Ellis,Cashier,9760601436,jason.ellis684@company.com,75577,8
Karen,Davis,Assistant Manager,1522529023,karen.davis137@company.com,87962,8
Jody,Leblanc,Warehouse Staff,2567680112,jody.leblanc699@company.com,53007,8
Christy,Galvan,Sales Executive,6410415510,christy.galvan681@company.com,45512,8
Lauren,Nguyen,Sales Executive,7255405415,lauren.nguyen19@company.com,87225,8
Amy,Stanley,HR Executive,3762846694,amy.stanley740@company.com,60957,8
Andrew,Allen,Security Staff,5239244566,andrew.allen665@company.com,73383,8
Stacey,Jones,Store Manager,7285344899,stacey.jones104@company.com,42459,8
Samantha,Keith,Warehouse Staff,6255541911,samantha.keith737@company.com,30771,9
Shelley,Sanders,Accountant,5626674777,shelley.sanders757@company.com,44149,9
Candice,Herrera,Inventory Supervisor,7825683943,candice.herrera238@company.com,54735,9
Brett,Hernandez,Inventory Supervisor,5931059748,brett.hernandez221@company.com,74049,9
Sean,Carr,Sales Executive,685585771,sean.carr1@company.com,75544,9
Tonya,Lawson,Sales Executive,8998509934,tonya.lawson914@company.com,58408,9
Mandy,Bryan,Customer Support,6640469131,mandy.bryan752@company.com,51470,9
George,Schmidt,HR Executive,103076605,george.schmidt784@company.com,58197,9
Scott,Reese,HR Executive,5598006599,scott.reese831@company.com,51955,9
Melissa,Graves,Inventory Supervisor,4312809941,melissa.graves126@company.com,34447,9
Juan,Johnston,Warehouse Staff,5714576356,juan.johnston722@company.com,85398,9
Amy,Patel,Inventory Supervisor,8160878708,amy.patel206@company.com,28094,9
Melissa,Anderson,Warehouse Staff,5904134195,melissa.anderson49@company.com,68085,9
Charles,Reed,Inventory Supervisor,1137787825,charles.reed893@company.com,20049,9
Eileen,Martin,Warehouse Staff,2800126245,eileen.martin492@company.com,81350,9
Robin,Brown,Warehouse Staff,7125497887,robin.brown392@company.com,74946,9
Victoria,Pearson,Inventory Supervisor,6590855769,victoria.pearson539@company.com,42070,9
Martha,Rodriguez,Cashier,7729656630,martha.rodriguez800@company.com,51439,9
Cassandra,Johns,HR Executive,8126425635,cassandra.johns36@company.com,30848,9
Susan,Carr,Security Staff,2945354167,susan.carr912@company.com,27890,9
Ashley,Mann,Customer Support,8835614035,ashley.mann593@company.com,44327,9
Christina,Hunter,Cashier,1184486008,christina.hunter914@company.com,31236,9
Philip,Chaney,Customer Support,9959404571,philip.chaney680@company.com,72601,9
Xavier,Thompson,Security Staff,1941039097,xavier.thompson290@company.com,22040,9
Lauren,Powell,Accountant,8432077938,lauren.powell560@company.com,63537,9
Zachary,Wang,Warehouse Staff,4710769161,zachary.wang532@company.com,72273,9
Nicole,Garcia,Customer Support,7061492745,nicole.garcia426@company.com,31867,9
Amanda,Ingram,Cashier,2537113387,amanda.ingram354@company.com,77754,9
Alejandra,Watkins,Customer Support,3924441431,alejandra.watkins412@company.com,21300,9
Timothy,Baker,Assistant Manager,1409406016,timothy.baker269@company.com,45707,9
Nicole,Davis,Store Manager,6760272973,nicole.davis147@company.com,64123,9
Ryan,Brown,Warehouse Staff,4355108421,ryan.brown399@company.com,75093,9
Lisa,Ross,Cashier,4544996667,lisa.ross292@company.com,86366,9
Jonathan,Hamilton,Inventory Supervisor,477923722,jonathan.hamilton595@company.com,87170,9
Kevin,Jones,Inventory Supervisor,2353568398,kevin.jones932@company.com,78440,9
Richard,Cook,Store Manager,128612995,richard.cook256@company.com,51792,9
Emily,Thompson,Security Staff,1355395972,emily.thompson275@company.com,78255,9
Mark,Henson,Inventory Supervisor,7323601879,mark.henson860@company.com,30228,9
Lauren,Simmons,Inventory Supervisor,763148014,lauren.simmons470@company.com,69046,9
Deborah,Ponce,Store Manager,7448869506,deborah.ponce156@company.com,47961,9
Carrie,Martinez,Inventory Supervisor,1628514482,carrie.martinez444@company.com,35866,9
Phillip,Foley,Assistant Manager,3639708362,phillip.foley157@company.com,51530,9
Lisa,White,Cashier,8160839759,lisa.white811@company.com,22786,9
Suzanne,Hendrix,Warehouse Staff,3502849146,suzanne.hendrix12@company.com,84200,9
Dennis,Robinson,Inventory Supervisor,3141510252,dennis.robinson529@company.com,40748,9
Lori,Moore,Inventory Supervisor,7054376649,lori.moore954@company.com,25269,9
Debbie,Torres,HR Executive,3015759407,debbie.torres612@company.com,53316,9
Lauren,Snyder,Sales Executive,7177182136,lauren.snyder394@company.com,59500,9
Michael,Goodwin,Assistant Manager,9331690529,michael.goodwin869@company.com,39981,9
Martha,Thompson,Warehouse Staff,8603182563,martha.thompson839@company.com,65013,10
Nicholas,Smith,Accountant,5397690061,nicholas.smith128@company.com,44777,10
Brittany,Gonzalez,Security Staff,2259263880,brittany.gonzalez265@company.com,50269,10
Jasmine,Harrison,Customer Support,9057158219,jasmine.harrison25@company.com,59833,10
Anthony,Wilson,Accountant,5207083137,anthony.wilson60@company.com,87097,10
Erin,Dunn,Cashier,901476143,erin.dunn62@company.com,68037,10
Debra,Kelly,Security Staff,3131894937,debra.kelly768@company.com,69978,10
Jeffrey,Perez,Store Manager,2997222002,jeffrey.perez382@company.com,42261,10
David,Hernandez,Inventory Supervisor,2891745730,david.hernandez566@company.com,39783,10
Amanda,Gomez,Assistant Manager,4954102285,amanda.gomez511@company.com,87276,10
Mary,Carter,Inventory Supervisor,6271572580,mary.carter49@company.com,58340,10
Kaitlin,Kennedy,Store Manager,7844397699,kaitlin.kennedy569@company.com,60021,10
Alexander,Hughes,Store Manager,9020252566,alexander.hughes103@company.com,67607,10
Angela,Scott,Customer Support,7039229944,angela.scott44@company.com,65448,10
Dominic,Walton,Assistant Manager,6940594251,dominic.walton378@company.com,22625,10
Roy,Hartman,Accountant,6084328251,roy.hartman338@company.com,64365,10
Bradley,Heath,Customer Support,5197981642,bradley.heath306@company.com,69427,10
Katie,Fitzpatrick,HR Executive,2593440343,katie.fitzpatrick486@company.com,82078,10
Andrew,Gutierrez,Cashier,442001462,andrew.gutierrez617@company.com,30840,10
Hailey,Dickerson,Sales Executive,4202908486,hailey.dickerson863@company.com,82348,10
Emily,Hicks,Store Manager,2788245716,emily.hicks618@company.com,89396,10
Amanda,Anderson,Store Manager,5612147059,amanda.anderson44@company.com,36868,10
Lauren,Gonzalez,Cashier,4683954149,lauren.gonzalez696@company.com,39395,10
Bailey,Torres,Security Staff,471989884,bailey.torres787@company.com,44458,10
Lori,Stokes,Store Manager,5327355300,lori.stokes700@company.com,34603,10
Debra,Perez,Warehouse Staff,6407449263,debra.perez804@company.com,54529,10
Kathy,Williams,Security Staff,8937925465,kathy.williams746@company.com,48484,10
Samuel,Brown,Accountant,9223848769,samuel.brown952@company.com,52339,10
David,Johnson,Inventory Supervisor,7246550174,david.johnson371@company.com,53484,10
Victoria,Johnson,Customer Support,5251157329,victoria.johnson991@company.com,76051,10
William,Singleton,Accountant,2964303950,william.singleton866@company.com,72211,10
Samuel,Estes,Inventory Supervisor,6376896433,samuel.estes725@company.com,80673,10
Cody,Jackson,Warehouse Staff,6618838156,cody.jackson52@company.com,71121,10
Jill,Reed,Accountant,6434325154,jill.reed917@company.com,22104,10
Michael,Smith,Customer Support,8745898800,michael.smith314@company.com,37369,10
Marcus,Garcia,Inventory Supervisor,8094899978,marcus.garcia95@company.com,67409,10
Michelle,Aguirre,HR Executive,7418273727,michelle.aguirre44@company.com,29045,10
Tony,Schmidt,Warehouse Staff,7647266656,tony.schmidt746@company.com,67957,10
Paige,Ali,Customer Support,3058866454,paige.ali892@company.com,86909,10
Kelly,Woods,Security Staff,1576318958,kelly.woods746@company.com,53257,10
Tracey,Gray,Customer Support,3488511794,tracey.gray862@company.com,40229,10
Kimberly,Gray,Sales Executive,1370497184,kimberly.gray846@company.com,20032,10
Sarah,Rodriguez,Cashier,7925240059,sarah.rodriguez821@company.com,86150,10
Erin,Rose,HR Executive,7418834426,erin.rose864@company.com,37395,10
Cynthia,Guzman,Accountant,4432694146,cynthia.guzman301@company.com,88353,10
Cynthia,Thomas,Warehouse Staff,6637245808,cynthia.thomas808@company.com,46459,10
John,Peck,Security Staff,5300430027,john.peck843@company.com,45280,10
Seth,Walker,Warehouse Staff,4928741491,seth.walker275@company.com,81267,10
Barbara,Barrett,HR Executive,6571716193,barbara.barrett341@company.com,84280,10
Lindsey,Todd,Security Staff,4597494629,lindsey.todd12@company.com,21702,10
Andrew,Gould,Assistant Manager,5123030553,andrew.gould812@company.com,83665,10
Makayla,Pratt,Assistant Manager,7704070071,makayla.pratt54@company.com,53940,10
Caleb,Wells,Inventory Supervisor,3311272133,caleb.wells232@company.com,25067,10
